startDate,endDate,status,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,distributionChannel,userLanguage,QID2,QID23,QID67,QID40,QID41_TEXT,QID42,QID43,QID44,QID45,QID46_TEXT,QID47_TEXT,QID70,QID71,QID72,QID48,QID49,QID50,QID51,QID52,QID53,QID54,QID55,QID56,QID57,QID58,QID59,QID73,QID74,QID75,QID76,QID77,QID78,QID79,QID80_TEXT,QID60,QID61,QID63,QID64,QID65,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,Treatment,FL_35_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,DistributionChannel - Distribution Channel,UserLanguage - User Language,"2 - The following questions are about the foreign policy of the US toward other nations in the world. You will answer some questions about your views/beliefs and then read about a situation similar to previous situations our country has faced in the past and will likely face going forward. Different political leaders have handled the situation in different ways. We will describe one approach a political leader might take, asking if you approve or disapprove.

Only citizens of the United States (U.S.) over 18 years old are eligible to take this survey.

This survey will take approximately 10 minutes to complete. Respondents must complete the entire survey in one sitting without interruptions. If you cannot take the entire survey right now, please close the survey window and click on the link to this survey at a time when you can do so.

Do you consent to the conditions of the survey? Are you eligible to take the survey and follow the instructions?",4 - The scenario you read involved…,Repeat_4 - The scenario you read involved…,6 - Do you approve or disapprove of the U.S. President’s decision?,7 - List the main reasons you approve or disapprove of the U.S. President’s decision.,8 - Imagine that the U.S. president ran for reelection the following year. How likely or unlikely would you be to vote for the U.S. president for a second term?,9 - How much damage do you think there would be to the President’s reputation as a result of their handling of the situation?,10 - How much damage do you think there would be to the U.S.’ reputation as a result of the President’s handling of the situation?,"11 - If the Legal Adviser of the U.S. State Department later argued that the attack was—in fact—legal under international law, would you approve or disapprove of the President’s decision regarding the airstrike?","12 - In your judgment, what reasons would make the President’s airstrike against Iran’s nuclear weapons facilities illegal under international law? (limit 100 words)","13 - In your judgment, what reasons would make the President’s airstrike against Iran’s nuclear weapons facilities legal under international law? (limit 100 words)",14 - Did you believe the President intended to follow their statement if Iran conducted a nuclear weapons test?,15 - How confident were you that a U.S. military strike could successfully destroy all of Iran's nuclear weapons facilities?,16 - How important was it to you that Iran did not develop nuclear weapons?,"17 - How familiar are you with the rules of international law governing when and how force can be used (e.g. the United Nations Charter, Geneva Conventions)?","18 - Under international law, when can countries engage in armed conflict? (select up to two)",19 - Is it against international law to intentionally destroy civilian targets?,20 - The best way to ensure world peace is through American military strength.,21 - The use of military force only makes problems worse.,"22 - Going to war is unfortunate, but sometimes the only solution to international problems.","23 - Generally speaking, would you say that the United States can trust other nations, or that the United States can’t be too careful in dealing with other nations?",24 - How important is international law?,25 - How superior is the United States compared to other nations?,26 - How many things about America make you ashamed?,27 - How would you describe your general political stance?,"28 - Do you strongly favor, favor, oppose, or strongly oppose the death penalty for persons convicted of murder?","29 - In your judgment, do U.S. politicians care about public preferences regarding foreign policy and national security?","30 - In your judgment, do U.S. politicians care about public preferences regarding foreign policy toward Iran?",31 - How much do you trust the U.S. government and its various institutions (e.g. the State Department) to take responsible actions in foreign policy?,32 - How do you feel about the people of Iran?,33 - How do you feel about the government of Iran?,34 - Would you trust Iran if its government was more democratic?,"35 - In your opinion, what political actors are the biggest international threats to the U.S.? (select all that apply)","36 - In your judgment, what are some reasons why political leaders make threats against foreign countries? (limit 100 words)",37 - Please rate your level of interest in news about national and international security.,38 - Are you a military veteran?,39 - What is your religion?,40 - What are your voting habits with federal elections that you are eligible for (for example Presidents and Senators/Congressional Representatives)?,"41 - Whether or not you voted in the 2020 election for President, which candidate, if any, did you support?",rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,Treatment,FL_35_DO - FL_35 - Block Randomizer - Display Order
2023-02-17 00:44:40,2023-02-17 00:44:48,1,100,7,1,2023-02-17 00:44:49,R_6KY7FyCCn1Xnnzj,,,,,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17 01:57:42,2023-02-17 02:02:38,1,100,295,1,2023-02-17 02:02:39,R_AgtbypBixefLF7P,,,,,preview,EN,1,4,,5,Sample,4,0,0,,Sample,,3,3,4,1,"0.52,0.51",0,2,2,3,1,2,3,1,1,1,2,2,2,4,7,3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Sample,3,0,1,3,2,,,,,,,,,,,,FL_46
2023-02-17 14:52:26,2023-02-17 15:11:44,1,100,1158,1,2023-02-17 15:11:45,R_3kN9l3IRbzVD1a7,,,,,preview,EN,1,4,,5,Compliance with international law. ,3,3,1,0,,"Article 2(4) UN Charter prohibits the use of force except in the case of self-defense. The US's traditional preventative self-defense argument is dubious at best, and not generally accepted.",3,4,0,2,"0.52,0.51",1,0,2,1,0,4,2,0,0,0,0,1,1,3,7,3,2,Re-election.,4,0,5,3,3,,,,,,,,,,,,FL_58
2023-02-19 20:09:47,2023-02-19 20:12:43,1,100,175,1,2023-02-19 20:12:43,R_3nO5npnrZoYbZP7,,,,,preview,EN,1,4,,2,It was illegal and it failed,2,3,3,,Sample,,3,3,3,2,"0.52,0.51",1,2,2,3,1,3,3,1,1,1,3,3,2,4,7,3,15,Sample,4,0,1,3,2,,,,,,,,,,,2,FL_47
2023-02-20 12:48:00,2023-02-20 12:48:35,0,100,34,1,2023-02-20 12:48:35,R_3kMpBkxyeeFJYRG,,,,,anonymous,EN,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63f3ce3d-cb0b-f94b-c7f1-7cf5a2dc0339,35,1,19,1,1,2,1,1,10001,4,FL_56
2023-02-20 12:48:34,2023-02-20 12:48:42,0,100,8,1,2023-02-20 12:48:42,R_AaMLoHsVRlozB5L,,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63f3ce80-78ae-0a8c-a38c-61907c9cdcb7,46,2,7,1,1,1,10,1,3244,,
2023-02-20 12:48:18,2023-02-20 12:49:07,0,100,49,1,2023-02-20 12:49:07,R_22rlakL7VuRLwMH,,,,,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63f3ce79-538a-8876-b524-ff8de37cc024,42,1,21,1,1,7,10,2,60618,6,FL_58
2023-02-20 12:48:37,2023-02-20 12:49:08,0,100,30,1,2023-02-20 12:49:08,R_5nZZ8RPle1SddLj,,,,,anonymous,EN,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63f3ce8c-6975-e5b1-4dfe-c835021491a0,37,2,1,1,2,4,7,3,79382,2,FL_47
2023-02-20 12:48:57,2023-02-20 12:49:14,0,100,17,1,2023-02-20 12:49:14,R_24IdmKMf0CC8IdP,,,,,anonymous,EN,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63f3ce86-3219-745d-d730-3393da5346d3,19,2,1,1,1,4,6,4,85650,1,FL_46
